"Year","Province","Normalization","Measure","Value"
1972,"Ontario","Per Capita ($)","Expenditure",871.518024914113
1973,"Ontario","Per Capita ($)","Expenditure",962.659247726501
1974,"Ontario","Per Capita ($)","Expenditure",1144.64715041853
1975,"Ontario","Per Capita ($)","Expenditure",1399.91430077304
1976,"Ontario","Per Capita ($)","Expenditure",1545.32226244592
1977,"Ontario","Per Capita ($)","Expenditure",1694.12799503297
1978,"Ontario","Per Capita ($)","Expenditure",1813.24084904747
1979,"Ontario","Per Capita ($)","Expenditure",1962.22896835036
1980,"Ontario","Per Capita ($)","Expenditure",2225.58553251636
1981,"Ontario","Per Capita ($)","Expenditure",2527.0400892572
1982,"Ontario","Per Capita ($)","Expenditure",2895.08589857188
1983,"Ontario","Per Capita ($)","Expenditure",3170.17502171565
1984,"Ontario","Per Capita ($)","Expenditure",3461.90950537792
1985,"Ontario","Per Capita ($)","Expenditure",3830.91059734641
1986,"Ontario","Per Capita ($)","Expenditure",3885.40904293246
1987,"Ontario","Per Capita ($)","Expenditure",4078.77405401255
1988,"Ontario","Per Capita ($)","Expenditure",4330.07881186589
1989,"Ontario","Per Capita ($)","Expenditure",4644.22285578828
1990,"Ontario","Per Capita ($)","Expenditure",5082.93064611
1991,"Ontario","Per Capita ($)","Expenditure",5442.07461455486
1992,"Ontario","Per Capita ($)","Expenditure",5546.33588735746
1993,"Ontario","Per Capita ($)","Expenditure",5727.48197901635
1994,"Ontario","Per Capita ($)","Expenditure",5644.62296746897
1995,"Ontario","Per Capita ($)","Expenditure",5805.69033085394
1996,"Ontario","Per Capita ($)","Expenditure",5563.16336974166
1997,"Ontario","Per Capita ($)","Expenditure",5348.93719086922
1998,"Ontario","Per Capita ($)","Expenditure",5381.00762975148
1999,"Ontario","Per Capita ($)","Expenditure",5560.65537748335
2000,"Ontario","Per Capita ($)","Expenditure",5772.86021317625
2001,"Ontario","Per Capita ($)","Expenditure",5864.07233633457
2002,"Ontario","Per Capita ($)","Expenditure",5882.66714204707
2003,"Ontario","Per Capita ($)","Expenditure",6149.42916882502
2004,"Ontario","Per Capita ($)","Expenditure",6196.78727726223
2005,"Ontario","Per Capita ($)","Expenditure",6578.11611661995
2006,"Ontario","Per Capita ($)","Expenditure",6719.69829436044
2007,"Ontario","Per Capita ($)","Expenditure",7475.16256807977
2008,"Ontario","Per Capita ($)","Expenditure",7741.01428150849
2009,"Ontario","Per Capita ($)","Expenditure",8191.81211146496
2010,"Ontario","Per Capita ($)","Expenditure",8914.88878694509
2011,"Ontario","Per Capita ($)","Expenditure",8750.37071930895
2012,"Ontario","Per Capita ($)","Expenditure",8786.66518503384
2013,"Ontario","Per Capita ($)","Expenditure",8877.05899459106
2014,"Ontario","Per Capita ($)","Expenditure",8773.23554386019
2015,"Ontario","Per Capita ($)","Expenditure",9038.80742837408
2016,"Ontario","Per Capita ($)","Expenditure",9278.2230183878
2017,"Ontario","Per Capita ($)","Expenditure",9677.79924877796
2018,"Ontario","Per Capita ($)","Expenditure",9921.3086977801
2019,"Ontario","Per Capita ($)","Expenditure",10396.2260894878
2020,"Ontario","Per Capita ($)","Expenditure",15920.3890908217
2021,"Ontario","Per Capita ($)","Expenditure",14360.4773689862
2022,"Ontario","Per Capita ($)","Expenditure",12682.8859566776
1961,"Prince Edward Island","Per Capita ($)","Expenditure",476.190476190476
1962,"Prince Edward Island","Per Capita ($)","Expenditure",514.018691588785
1963,"Prince Edward Island","Per Capita ($)","Expenditure",537.037037037037
1964,"Prince Edward Island","Per Capita ($)","Expenditure",568.807339449541
1965,"Prince Edward Island","Per Capita ($)","Expenditure",614.678899082569
1966,"Prince Edward Island","Per Capita ($)","Expenditure",678.899082568807
1967,"Prince Edward Island","Per Capita ($)","Expenditure",798.165137614679
1968,"Prince Edward Island","Per Capita ($)","Expenditure",872.727272727273
1969,"Prince Edward Island","Per Capita ($)","Expenditure",981.981981981982
1970,"Prince Edward Island","Per Capita ($)","Expenditure",1090.90909090909
1971,"Prince Edward Island","Per Capita ($)","Expenditure",1225.67523159045
1972,"Prince Edward Island","Per Capita ($)","Expenditure",1436.62964921558
1973,"Prince Edward Island","Per Capita ($)","Expenditure",1570.40656080963
1974,"Prince Edward Island","Per Capita ($)","Expenditure",1923.04375571308
1975,"Prince Edward Island","Per Capita ($)","Expenditure",2505.86116679691
1976,"Prince Edward Island","Per Capita ($)","Expenditure",2949.90223181175
1977,"Prince Edward Island","Per Capita ($)","Expenditure",3260.99648045904
1978,"Prince Edward Island","Per Capita ($)","Expenditure",3632.35922553499
1979,"Prince Edward Island","Per Capita ($)","Expenditure",3727.06188713024
1980,"Prince Edward Island","Per Capita ($)","Expenditure",4097.46635955873
1981,"Prince Edward Island","Per Capita ($)","Expenditure",4386.85239293895
1982,"Prince Edward Island","Per Capita ($)","Expenditure",5283.68450011328
1983,"Prince Edward Island","Per Capita ($)","Expenditure",5459.5450112708
1984,"Prince Edward Island","Per Capita ($)","Expenditure",6415.77712285581
1985,"Prince Edward Island","Per Capita ($)","Expenditure",6950.37572775214
1986,"Prince Edward Island","Per Capita ($)","Expenditure",7077.45491918154
1987,"Prince Edward Island","Per Capita ($)","Expenditure",7260.51569872747
1988,"Prince Edward Island","Per Capita ($)","Expenditure",7889.30226082652
1989,"Prince Edward Island","Per Capita ($)","Expenditure",8420.85852804008
1990,"Prince Edward Island","Per Capita ($)","Expenditure",9332.53581178492
1991,"Prince Edward Island","Per Capita ($)","Expenditure",9289.01809479247
1992,"Prince Edward Island","Per Capita ($)","Expenditure",9417.01636512341
1993,"Prince Edward Island","Per Capita ($)","Expenditure",9237.61320048117
1994,"Prince Edward Island","Per Capita ($)","Expenditure",9412.68164002488
1995,"Prince Edward Island","Per Capita ($)","Expenditure",9626.90175947625
1996,"Prince Edward Island","Per Capita ($)","Expenditure",9105.84439025468
1997,"Prince Edward Island","Per Capita ($)","Expenditure",9427.23832616922
1998,"Prince Edward Island","Per Capita ($)","Expenditure",9587.34646991252
1999,"Prince Edward Island","Per Capita ($)","Expenditure",10448.9987599152
2000,"Prince Edward Island","Per Capita ($)","Expenditure",10581.0800908625
2001,"Prince Edward Island","Per Capita ($)","Expenditure",11509.896462152
2002,"Prince Edward Island","Per Capita ($)","Expenditure",10834.3074225599
2003,"Prince Edward Island","Per Capita ($)","Expenditure",11098.3990031116
2004,"Prince Edward Island","Per Capita ($)","Expenditure",11018.3033120279
2005,"Prince Edward Island","Per Capita ($)","Expenditure",12197.2418588481
2006,"Prince Edward Island","Per Capita ($)","Expenditure",12352.4846409946
2007,"Prince Edward Island","Per Capita ($)","Expenditure",13470.2383978041
2008,"Prince Edward Island","Per Capita ($)","Expenditure",14277.5803789577
2009,"Prince Edward Island","Per Capita ($)","Expenditure",15226.1403521313
2010,"Prince Edward Island","Per Capita ($)","Expenditure",15516.6814915216
2011,"Prince Edward Island","Per Capita ($)","Expenditure",14948.2853233122
2012,"Prince Edward Island","Per Capita ($)","Expenditure",14730.5057773473
2013,"Prince Edward Island","Per Capita ($)","Expenditure",15295.5709467431
2014,"Prince Edward Island","Per Capita ($)","Expenditure",14811.1697150738
2015,"Prince Edward Island","Per Capita ($)","Expenditure",15157.8044359581
2016,"Prince Edward Island","Per Capita ($)","Expenditure",15806.0543379896
2017,"Prince Edward Island","Per Capita ($)","Expenditure",16947.9129266898
2018,"Prince Edward Island","Per Capita ($)","Expenditure",17229.9147305014
2019,"Prince Edward Island","Per Capita ($)","Expenditure",18377.7053595818
2020,"Prince Edward Island","Per Capita ($)","Expenditure",23650.8477728527
2021,"Prince Edward Island","Per Capita ($)","Expenditure",21959.4799645541
2022,"Prince Edward Island","Per Capita ($)","Expenditure",21026.6685414323
1961,"Quebec","Per Capita ($)","Expenditure",275.0569476082
1962,"Quebec","Per Capita ($)","Expenditure",296.78498420368
1963,"Quebec","Per Capita ($)","Expenditure",300.60120240481
1964,"Quebec","Per Capita ($)","Expenditure",322.367244770249
1965,"Quebec","Per Capita ($)","Expenditure",320.86406743941
1966,"Quebec","Per Capita ($)","Expenditure",351.477449455676
1967,"Quebec","Per Capita ($)","Expenditure",403.236797274276
1968,"Quebec","Per Capita ($)","Expenditure",449.165402124431
1969,"Quebec","Per Capita ($)","Expenditure",496.241857357608
1970,"Quebec","Per Capita ($)","Expenditure",573.067331670823
1971,"Quebec","Per Capita ($)","Expenditure",663.646339883711
1972,"Quebec","Per Capita ($)","Expenditure",765.279348827446
1973,"Quebec","Per Capita ($)","Expenditure",825.024476316277
1974,"Quebec","Per Capita ($)","Expenditure",1112.85331218231
1975,"Quebec","Per Capita ($)","Expenditure",1415.09813985207
1976,"Quebec","Per Capita ($)","Expenditure",1468.24306864052
1977,"Quebec","Per Capita ($)","Expenditure",1706.63345526977
1978,"Quebec","Per Capita ($)","Expenditure",1952.65585884484
1979,"Quebec","Per Capita ($)","Expenditure",2080.57660413028
1980,"Quebec","Per Capita ($)","Expenditure",2429.45085895367
1981,"Quebec","Per Capita ($)","Expenditure",2951.33482109241
1982,"Quebec","Per Capita ($)","Expenditure",3326.88461030561
1983,"Quebec","Per Capita ($)","Expenditure",3489.18427084999
1984,"Quebec","Per Capita ($)","Expenditure",3784.37150328296
1985,"Quebec","Per Capita ($)","Expenditure",4058.32636492953
1986,"Quebec","Per Capita ($)","Expenditure",4019.87427271521
1987,"Quebec","Per Capita ($)","Expenditure",4169.13398793038
1988,"Quebec","Per Capita ($)","Expenditure",4442.98053100762
1989,"Quebec","Per Capita ($)","Expenditure",4772.18616031357
1990,"Quebec","Per Capita ($)","Expenditure",5153.64758483153
1991,"Quebec","Per Capita ($)","Expenditure",5341.71284586289
1992,"Quebec","Per Capita ($)","Expenditure",5443.87419989564
1993,"Quebec","Per Capita ($)","Expenditure",5595.30398571264
1994,"Quebec","Per Capita ($)","Expenditure",5489.95933626077
1995,"Quebec","Per Capita ($)","Expenditure",5754.22355243691
1996,"Quebec","Per Capita ($)","Expenditure",5433.77393110458
1997,"Quebec","Per Capita ($)","Expenditure",5152.16552472703
1998,"Quebec","Per Capita ($)","Expenditure",5312.68439206215
1999,"Quebec","Per Capita ($)","Expenditure",5459.18820195951
2000,"Quebec","Per Capita ($)","Expenditure",5632.76824869433
2001,"Quebec","Per Capita ($)","Expenditure",5697.45835032345
2002,"Quebec","Per Capita ($)","Expenditure",5558.7089755291
2003,"Quebec","Per Capita ($)","Expenditure",5763.61523015787
2004,"Quebec","Per Capita ($)","Expenditure",5614.68975886427
2005,"Quebec","Per Capita ($)","Expenditure",6146.29657866094
2006,"Quebec","Per Capita ($)","Expenditure",6305.58364646803
2007,"Quebec","Per Capita ($)","Expenditure",6684.8513619543
2008,"Quebec","Per Capita ($)","Expenditure",7212.57194760185
2009,"Quebec","Per Capita ($)","Expenditure",7319.92814835129
2010,"Quebec","Per Capita ($)","Expenditure",7647.40853516272
2011,"Quebec","Per Capita ($)","Expenditure",7601.41360059662
2012,"Quebec","Per Capita ($)","Expenditure",7486.94254047927
2013,"Quebec","Per Capita ($)","Expenditure",7552.81794330578
2014,"Quebec","Per Capita ($)","Expenditure",7685.83969218851
2015,"Quebec","Per Capita ($)","Expenditure",7884.26366731284
2016,"Quebec","Per Capita ($)","Expenditure",8086.36084585975
2017,"Quebec","Per Capita ($)","Expenditure",8587.98590181742
2018,"Quebec","Per Capita ($)","Expenditure",8923.86789495221
2019,"Quebec","Per Capita ($)","Expenditure",9379.45074976924
2020,"Quebec","Per Capita ($)","Expenditure",14559.3909937452
2021,"Quebec","Per Capita ($)","Expenditure",12526.0176452091
2022,"Quebec","Per Capita ($)","Expenditure",11142.3412532621
1961,"Saskatchewan","Per Capita ($)","Expenditure",366.090712742981
1962,"Saskatchewan","Per Capita ($)","Expenditure",397.422126745435
1963,"Saskatchewan","Per Capita ($)","Expenditure",362.272240085745
1964,"Saskatchewan","Per Capita ($)","Expenditure",366.914103923648
1965,"Saskatchewan","Per Capita ($)","Expenditure",386.961093585699
1966,"Saskatchewan","Per Capita ($)","Expenditure",445.606694560669
1967,"Saskatchewan","Per Capita ($)","Expenditure",466.597077244259
1968,"Saskatchewan","Per Capita ($)","Expenditure",521.331945889698
1969,"Saskatchewan","Per Capita ($)","Expenditure",591.858037578288
1970,"Saskatchewan","Per Capita ($)","Expenditure",701.063829787234
1971,"Saskatchewan","Per Capita ($)","Expenditure",808.979891377819
1972,"Saskatchewan","Per Capita ($)","Expenditure",963.313712287409
1973,"Saskatchewan","Per Capita ($)","Expenditure",1061.47683447431
1974,"Saskatchewan","Per Capita ($)","Expenditure",1261.47962974582
1975,"Saskatchewan","Per Capita ($)","Expenditure",1468.25591471689
1976,"Saskatchewan","Per Capita ($)","Expenditure",1465.20225158113
1977,"Saskatchewan","Per Capita ($)","Expenditure",1646.16285261496
1978,"Saskatchewan","Per Capita ($)","Expenditure",1988.59758722426
1979,"Saskatchewan","Per Capita ($)","Expenditure",2254.78908240296
1980,"Saskatchewan","Per Capita ($)","Expenditure",2357.50577749114
1981,"Saskatchewan","Per Capita ($)","Expenditure",2799.87168962828
1982,"Saskatchewan","Per Capita ($)","Expenditure",3451.30967319493
1983,"Saskatchewan","Per Capita ($)","Expenditure",3913.11252245945
1984,"Saskatchewan","Per Capita ($)","Expenditure",4708.18980598552
1985,"Saskatchewan","Per Capita ($)","Expenditure",5166.21655374817
1986,"Saskatchewan","Per Capita ($)","Expenditure",5650.72804279505
1987,"Saskatchewan","Per Capita ($)","Expenditure",6101.86493209231
1988,"Saskatchewan","Per Capita ($)","Expenditure",6158.18522210606
1989,"Saskatchewan","Per Capita ($)","Expenditure",6095.5093929112
1990,"Saskatchewan","Per Capita ($)","Expenditure",6747.85929125646
1991,"Saskatchewan","Per Capita ($)","Expenditure",7398.9267118308
1992,"Saskatchewan","Per Capita ($)","Expenditure",7397.44719844222
1993,"Saskatchewan","Per Capita ($)","Expenditure",7185.42059787466
1994,"Saskatchewan","Per Capita ($)","Expenditure",7071.29237550454
1995,"Saskatchewan","Per Capita ($)","Expenditure",7048.99589523431
1996,"Saskatchewan","Per Capita ($)","Expenditure",6870.8320861283
1997,"Saskatchewan","Per Capita ($)","Expenditure",6611.63844849504
1998,"Saskatchewan","Per Capita ($)","Expenditure",6848.30517471189
1999,"Saskatchewan","Per Capita ($)","Expenditure",7562.16708525377
2000,"Saskatchewan","Per Capita ($)","Expenditure",7746.39849538243
2001,"Saskatchewan","Per Capita ($)","Expenditure",8002.08750108724
2002,"Saskatchewan","Per Capita ($)","Expenditure",7486.90568986775
2003,"Saskatchewan","Per Capita ($)","Expenditure",8180.564560321
2004,"Saskatchewan","Per Capita ($)","Expenditure",9042.56865904663
2005,"Saskatchewan","Per Capita ($)","Expenditure",9232.00805234021
2006,"Saskatchewan","Per Capita ($)","Expenditure",9316.60744482089
2007,"Saskatchewan","Per Capita ($)","Expenditure",9130.95283239163
2008,"Saskatchewan","Per Capita ($)","Expenditure",9365.0113425935
2009,"Saskatchewan","Per Capita ($)","Expenditure",8962.92008554153
2010,"Saskatchewan","Per Capita ($)","Expenditure",9196.88466231646
2011,"Saskatchewan","Per Capita ($)","Expenditure",9198.64993911968
2012,"Saskatchewan","Per Capita ($)","Expenditure",9136.75138753685
2013,"Saskatchewan","Per Capita ($)","Expenditure",8973.06262593932
2014,"Saskatchewan","Per Capita ($)","Expenditure",8925.59518193964
2015,"Saskatchewan","Per Capita ($)","Expenditure",9137.64633570836
2016,"Saskatchewan","Per Capita ($)","Expenditure",9530.91892776942
2017,"Saskatchewan","Per Capita ($)","Expenditure",10307.4680244208
2018,"Saskatchewan","Per Capita ($)","Expenditure",10453.0426496879
2019,"Saskatchewan","Per Capita ($)","Expenditure",11481.6555349819
2020,"Saskatchewan","Per Capita ($)","Expenditure",16772.6376725016
2021,"Saskatchewan","Per Capita ($)","Expenditure",14988.6626497152
2022,"Saskatchewan","Per Capita ($)","Expenditure",14274.3196995655
1961,"Territories","Per Capita ($)","Expenditure",1421.05263157895
1962,"Territories","Per Capita ($)","Expenditure",1475
1963,"Territories","Per Capita ($)","Expenditure",1487.80487804878
1964,"Territories","Per Capita ($)","Expenditure",1761.90476190476
1965,"Territories","Per Capita ($)","Expenditure",1666.66666666667
1966,"Territories","Per Capita ($)","Expenditure",1674.41860465116
1967,"Territories","Per Capita ($)","Expenditure",1931.81818181818
1968,"Territories","Per Capita ($)","Expenditure",1978.26086956522
1969,"Territories","Per Capita ($)","Expenditure",2212.76595744681
1970,"Territories","Per Capita ($)","Expenditure",2140
1971,"Territories","Per Capita ($)","Expenditure",2184.54927873766
1972,"Territories","Per Capita ($)","Expenditure",2766.74474657976
1973,"Territories","Per Capita ($)","Expenditure",2827.09487730408
1974,"Territories","Per Capita ($)","Expenditure",3263.66559485531
1975,"Territories","Per Capita ($)","Expenditure",4617.26145436015
1976,"Territories","Per Capita ($)","Expenditure",5436.9804538306
1977,"Territories","Per Capita ($)","Expenditure",6722.33758085478
1978,"Territories","Per Capita ($)","Expenditure",7015.39001183847
1979,"Territories","Per Capita ($)","Expenditure",7638.0301156616
1980,"Territories","Per Capita ($)","Expenditure",9263.52792024434
1981,"Territories","Per Capita ($)","Expenditure",10351.5022302017
1982,"Territories","Per Capita ($)","Expenditure",10500.1418938094
1983,"Territories","Per Capita ($)","Expenditure",12334.7307320219
1984,"Territories","Per Capita ($)","Expenditure",13469.029102021
1985,"Territories","Per Capita ($)","Expenditure",15562.9644711392
1986,"Territories","Per Capita ($)","Expenditure",17741.3032207483
1987,"Territories","Per Capita ($)","Expenditure",15808.7096574367
1988,"Territories","Per Capita ($)","Expenditure",17680.8711891538
1989,"Territories","Per Capita ($)","Expenditure",19421.0420295522
1990,"Territories","Per Capita ($)","Expenditure",20081.9389140792
1991,"Territories","Per Capita ($)","Expenditure",23086.6082073338
1992,"Territories","Per Capita ($)","Expenditure",20707.2729831246
1993,"Territories","Per Capita ($)","Expenditure",23496.5214050962
1994,"Territories","Per Capita ($)","Expenditure",21601.5802427405
1995,"Territories","Per Capita ($)","Expenditure",20402.2632470161
1996,"Territories","Per Capita ($)","Expenditure",20790.1049627013
1997,"Territories","Per Capita ($)","Expenditure",20895.0113789701
1998,"Territories","Per Capita ($)","Expenditure",21866.4822423823
1999,"Territories","Per Capita ($)","Expenditure",26933.2166159421
2000,"Territories","Per Capita ($)","Expenditure",25861.4557611601
2001,"Territories","Per Capita ($)","Expenditure",27860.7165913493
2002,"Territories","Per Capita ($)","Expenditure",22497.1990045312
2003,"Territories","Per Capita ($)","Expenditure",29573.3159639521
2004,"Territories","Per Capita ($)","Expenditure",30367.6231623621
2005,"Territories","Per Capita ($)","Expenditure",35402.9212143013
2006,"Territories","Per Capita ($)","Expenditure",33962.5837536701
2007,"Territories","Per Capita ($)","Expenditure",34662.3680360787
2008,"Territories","Per Capita ($)","Expenditure",37153.2745650067
2009,"Territories","Per Capita ($)","Expenditure",39129.0051514376
2010,"Territories","Per Capita ($)","Expenditure",40635.4229410337
2011,"Territories","Per Capita ($)","Expenditure",41040.7843900024
2012,"Territories","Per Capita ($)","Expenditure",41587.3736403792
2013,"Territories","Per Capita ($)","Expenditure",42917.787019185
2014,"Territories","Per Capita ($)","Expenditure",44276.5317286652
2015,"Territories","Per Capita ($)","Expenditure",44825.4021872229
2016,"Territories","Per Capita ($)","Expenditure",45568.3983656623
2017,"Territories","Per Capita ($)","Expenditure",46826.2226847034
2018,"Territories","Per Capita ($)","Expenditure",50467.8792976553
2019,"Territories","Per Capita ($)","Expenditure",52245.9687739954
2020,"Territories","Per Capita ($)","Expenditure",59747.6828825415
2021,"Territories","Per Capita ($)","Expenditure",58300.5336112883
2022,"Territories","Per Capita ($)","Expenditure",59536.6379310345
1961,"Alberta","Real Per Capita ($ 2020)","Expenditure",3376.11107135189
1962,"Alberta","Real Per Capita ($ 2020)","Expenditure",3421.4569390812
1963,"Alberta","Real Per Capita ($ 2020)","Expenditure",3324.00111245017
1964,"Alberta","Real Per Capita ($ 2020)","Expenditure",3330.87896916705
1965,"Alberta","Real Per Capita ($ 2020)","Expenditure",3305.99586492074
1966,"Alberta","Real Per Capita ($ 2020)","Expenditure",3438.30716723549
1967,"Alberta","Real Per Capita ($ 2020)","Expenditure",3653.64703792653
1968,"Alberta","Real Per Capita ($ 2020)","Expenditure",3929.10588136939
1969,"Alberta","Real Per Capita ($ 2020)","Expenditure",4137.2963206094
1970,"Alberta","Real Per Capita ($ 2020)","Expenditure",4528.66365815214
1971,"Alberta","Real Per Capita ($ 2020)","Expenditure",4716.65501414189
1972,"Alberta","Real Per Capita ($ 2020)","Expenditure",5106.4874446272
1973,"Alberta","Real Per Capita ($ 2020)","Expenditure",5239.56681933043
1974,"Alberta","Real Per Capita ($ 2020)","Expenditure",6160.34385903855
1975,"Alberta","Real Per Capita ($ 2020)","Expenditure",6059.30212626288
1976,"Alberta","Real Per Capita ($ 2020)","Expenditure",6382.48752846953
1977,"Alberta","Real Per Capita ($ 2020)","Expenditure",6400.31658970067
1978,"Alberta","Real Per Capita ($ 2020)","Expenditure",6334.89703976438
1979,"Alberta","Real Per Capita ($ 2020)","Expenditure",6249.62922622494
1980,"Alberta","Real Per Capita ($ 2020)","Expenditure",6206.07527745681
1981,"Alberta","Real Per Capita ($ 2020)","Expenditure",6538.1104083843
1982,"Alberta","Real Per Capita ($ 2020)","Expenditure",8075.79182286163
1983,"Alberta","Real Per Capita ($ 2020)","Expenditure",9208.94441628995
1984,"Alberta","Real Per Capita ($ 2020)","Expenditure",10602.8089703825
1985,"Alberta","Real Per Capita ($ 2020)","Expenditure",10615.1408406772
1986,"Alberta","Real Per Capita ($ 2020)","Expenditure",9504.93498103712
1987,"Alberta","Real Per Capita ($ 2020)","Expenditure",9539.52206522492
1988,"Alberta","Real Per Capita ($ 2020)","Expenditure",9539.09584676078
1989,"Alberta","Real Per Capita ($ 2020)","Expenditure",9549.78659231097
1990,"Alberta","Real Per Capita ($ 2020)","Expenditure",9571.7484006855
1991,"Alberta","Real Per Capita ($ 2020)","Expenditure",9627.38597788325
1992,"Alberta","Real Per Capita ($ 2020)","Expenditure",9828.41766843724
1993,"Alberta","Real Per Capita ($ 2020)","Expenditure",9283.77272165191
1994,"Alberta","Real Per Capita ($ 2020)","Expenditure",9070.35627426933
1995,"Alberta","Real Per Capita ($ 2020)","Expenditure",9114.52274291689
1996,"Alberta","Real Per Capita ($ 2020)","Expenditure",8566.04188405061
1997,"Alberta","Real Per Capita ($ 2020)","Expenditure",8068.94084282784
1998,"Alberta","Real Per Capita ($ 2020)","Expenditure",8107.11835945314
1999,"Alberta","Real Per Capita ($ 2020)","Expenditure",8253.28332919563
2000,"Alberta","Real Per Capita ($ 2020)","Expenditure",8577.12981182169
2001,"Alberta","Real Per Capita ($ 2020)","Expenditure",8441.59620374283
2002,"Alberta","Real Per Capita ($ 2020)","Expenditure",8024.39051677375
2003,"Alberta","Real Per Capita ($ 2020)","Expenditure",8398.22660464526
2004,"Alberta","Real Per Capita ($ 2020)","Expenditure",8411.03507468702
2005,"Alberta","Real Per Capita ($ 2020)","Expenditure",8389.76257818519
2006,"Alberta","Real Per Capita ($ 2020)","Expenditure",7927.82547386996
2007,"Alberta","Real Per Capita ($ 2020)","Expenditure",8105.88355231383
2008,"Alberta","Real Per Capita ($ 2020)","Expenditure",8239.79166420416
2009,"Alberta","Real Per Capita ($ 2020)","Expenditure",8650.01501207683
2010,"Alberta","Real Per Capita ($ 2020)","Expenditure",8887.25349504198
2011,"Alberta","Real Per Capita ($ 2020)","Expenditure",8534.7407271028
2012,"Alberta","Real Per Capita ($ 2020)","Expenditure",8360.47922513936
2013,"Alberta","Real Per Capita ($ 2020)","Expenditure",8304.32498692447
2014,"Alberta","Real Per Capita ($ 2020)","Expenditure",8072.31632171918
2015,"Alberta","Real Per Capita ($ 2020)","Expenditure",8511.3522381434
2016,"Alberta","Real Per Capita ($ 2020)","Expenditure",9058.68266613116
2017,"Alberta","Real Per Capita ($ 2020)","Expenditure",9454.65733872434
2018,"Alberta","Real Per Capita ($ 2020)","Expenditure",9266.76688759517
2019,"Alberta","Real Per Capita ($ 2020)","Expenditure",9612.36043593887
2020,"Alberta","Real Per Capita ($ 2020)","Expenditure",17105.1772500609
2021,"Alberta","Real Per Capita ($ 2020)","Expenditure",13865.0044013026
2022,"Alberta","Real Per Capita ($ 2020)","Expenditure",11154.6911356557
1961,"British Columbia","Real Per Capita ($ 2020)","Expenditure",3894.7171225178
1962,"British Columbia","Real Per Capita ($ 2020)","Expenditure",3573.90031654546
1963,"British Columbia","Real Per Capita ($ 2020)","Expenditure",3558.98431512798
1964,"British Columbia","Real Per Capita ($ 2020)","Expenditure",3566.63414634146
1965,"British Columbia","Real Per Capita ($ 2020)","Expenditure",3626.94013303769
1966,"British Columbia","Real Per Capita ($ 2020)","Expenditure",3704.17021276596
1967,"British Columbia","Real Per Capita ($ 2020)","Expenditure",3864.07139821504
1968,"British Columbia","Real Per Capita ($ 2020)","Expenditure",4141.55406122059
1969,"British Columbia","Real Per Capita ($ 2020)","Expenditure",4248.26636840747
1970,"British Columbia","Real Per Capita ($ 2020)","Expenditure",4659.53527453705
1971,"British Columbia","Real Per Capita ($ 2020)","Expenditure",4972.64084392067
1972,"British Columbia","Real Per Capita ($ 2020)","Expenditure",5440.30709301067
1973,"British Columbia","Real Per Capita ($ 2020)","Expenditure",5553.53056933776
1974,"British Columbia","Real Per Capita ($ 2020)","Expenditure",6057.87181718697
1975,"British Columbia","Real Per Capita ($ 2020)","Expenditure",6591.38402013173
1976,"British Columbia","Real Per Capita ($ 2020)","Expenditure",7095.27134452882
1977,"British Columbia","Real Per Capita ($ 2020)","Expenditure",7389.95025901494
1978,"British Columbia","Real Per Capita ($ 2020)","Expenditure",7481.4159712088
1979,"British Columbia","Real Per Capita ($ 2020)","Expenditure",7356.51375224276
1980,"British Columbia","Real Per Capita ($ 2020)","Expenditure",7447.50007374736
1981,"British Columbia","Real Per Capita ($ 2020)","Expenditure",7543.00009861014
1982,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8315.3958498693
1983,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8650.8243697258
1984,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9226.96792441843
1985,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9731.06730426324
1986,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9648.09864737165
1987,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9714.24223585098
1988,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9850.42122498918
1989,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9908.63685984106
1990,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9994.02163882948
1991,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9896.89034903507
1992,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9886.2950378834
1993,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9819.04715192762
1994,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9569.03620005709
1995,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9608.46089749511
1996,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8950.57227653511
1997,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8558.9884032309
1998,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8703.83413024979
1999,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8962.69318087936
2000,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9049.02526957431
2001,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8933.762510574
2002,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8993.68769759477
2003,"British Columbia","Real Per Capita ($ 2020)","Expenditure",8985.41416554293
2004,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9116.20328856319
