"Year","Component","Province","Normalization","Measure","Value","Total"
2012,"EI Payments less Receipts","Nunavut","Total ($ M)","Value",6,-1351
2012,"Corporate Income Taxes","Nunavut","Total ($ M)","Value",31,-1351
2012,"Personal Income Taxes","Nunavut","Total ($ M)","Value",115,-1351
2012,"Other Factors","Nunavut","Total ($ M)","Value",-1374,-1351
2012,"Non-Defense Purchases","Nunavut","Total ($ M)","Value",-153,-1351
2012,"OAS Benefits","Nunavut","Total ($ M)","Value",-14,-1351
2012,"Equalization / Stabilization","Nunavut","Total ($ M)","Value",0,-1351
2012,"GST and Excise Taxes","Nunavut","Total ($ M)","Value",44,-1351
2012,"Child Benefits","Ontario","Total ($ M)","Value",-5007,4588
2012,"CPP Net Contributions","Ontario","Total ($ M)","Value",3317,4588
2012,"Defense Purchases","Ontario","Total ($ M)","Value",-8443,4588
2012,"EI Payments less Receipts","Ontario","Total ($ M)","Value",2795,4588
2012,"Corporate Income Taxes","Ontario","Total ($ M)","Value",13292,4588
2012,"Personal Income Taxes","Ontario","Total ($ M)","Value",51447,4588
2012,"Other Factors","Ontario","Total ($ M)","Value",-32125,4588
2012,"Non-Defense Purchases","Ontario","Total ($ M)","Value",-21016,4588
2012,"OAS Benefits","Ontario","Total ($ M)","Value",-14469,4588
2012,"Equalization / Stabilization","Ontario","Total ($ M)","Value",-2962,4588
2012,"GST and Excise Taxes","Ontario","Total ($ M)","Value",17759,4588
2012,"Child Benefits","Prince Edward Island","Total ($ M)","Value",-56,-1106
2012,"CPP Net Contributions","Prince Edward Island","Total ($ M)","Value",2,-1106
2012,"Defense Purchases","Prince Edward Island","Total ($ M)","Value",-55,-1106
2012,"EI Payments less Receipts","Prince Edward Island","Total ($ M)","Value",-139,-1106
2012,"Corporate Income Taxes","Prince Edward Island","Total ($ M)","Value",78,-1106
2012,"Personal Income Taxes","Prince Edward Island","Total ($ M)","Value",349,-1106
2012,"Other Factors","Prince Edward Island","Total ($ M)","Value",-506,-1106
2012,"Non-Defense Purchases","Prince Edward Island","Total ($ M)","Value",-443,-1106
2012,"OAS Benefits","Prince Edward Island","Total ($ M)","Value",-193,-1106
2012,"Equalization / Stabilization","Prince Edward Island","Total ($ M)","Value",-331,-1106
2012,"GST and Excise Taxes","Prince Edward Island","Total ($ M)","Value",188,-1106
2012,"Child Benefits","Quebec","Total ($ M)","Value",-2915,-14823
2012,"CPP Net Contributions","Quebec","Total ($ M)","Value",-44,-14823
2012,"Defense Purchases","Quebec","Total ($ M)","Value",-2594,-14823
2012,"EI Payments less Receipts","Quebec","Total ($ M)","Value",124,-14823
2012,"Corporate Income Taxes","Quebec","Total ($ M)","Value",6495,-14823
2012,"Personal Income Taxes","Quebec","Total ($ M)","Value",20637,-14823
2012,"Other Factors","Quebec","Total ($ M)","Value",-17156,-14823
2012,"Non-Defense Purchases","Quebec","Total ($ M)","Value",-10367,-14823
2012,"OAS Benefits","Quebec","Total ($ M)","Value",-10823,-14823
2012,"Equalization / Stabilization","Quebec","Total ($ M)","Value",-7778,-14823
2012,"GST and Excise Taxes","Quebec","Total ($ M)","Value",9598,-14823
2012,"Child Benefits","Saskatchewan","Total ($ M)","Value",-500,411
2012,"CPP Net Contributions","Saskatchewan","Total ($ M)","Value",365,411
2012,"Defense Purchases","Saskatchewan","Total ($ M)","Value",-251,411
2012,"EI Payments less Receipts","Saskatchewan","Total ($ M)","Value",293,411
2012,"Corporate Income Taxes","Saskatchewan","Total ($ M)","Value",1523,411
2012,"Personal Income Taxes","Saskatchewan","Total ($ M)","Value",3901,411
2012,"Other Factors","Saskatchewan","Total ($ M)","Value",-4062,411
2012,"Non-Defense Purchases","Saskatchewan","Total ($ M)","Value",-1267,411
2012,"OAS Benefits","Saskatchewan","Total ($ M)","Value",-1221,411
2012,"Equalization / Stabilization","Saskatchewan","Total ($ M)","Value",0,411
2012,"GST and Excise Taxes","Saskatchewan","Total ($ M)","Value",1630,411
2012,"Child Benefits","Yukon","Total ($ M)","Value",-13,-943
2012,"CPP Net Contributions","Yukon","Total ($ M)","Value",55,-943
2012,"Defense Purchases","Yukon","Total ($ M)","Value",-4,-943
2012,"EI Payments less Receipts","Yukon","Total ($ M)","Value",2,-943
2012,"Corporate Income Taxes","Yukon","Total ($ M)","Value",16,-943
2012,"Personal Income Taxes","Yukon","Total ($ M)","Value",148,-943
2012,"Other Factors","Yukon","Total ($ M)","Value",-1056,-943
2012,"Non-Defense Purchases","Yukon","Total ($ M)","Value",-129,-943
2012,"OAS Benefits","Yukon","Total ($ M)","Value",-25,-943
2012,"Equalization / Stabilization","Yukon","Total ($ M)","Value",0,-943
2012,"GST and Excise Taxes","Yukon","Total ($ M)","Value",63,-943
2013,"Child Benefits","Alberta","Total ($ M)","Value",-1434,27257
2013,"CPP Net Contributions","Alberta","Total ($ M)","Value",3739,27257
2013,"Defense Purchases","Alberta","Total ($ M)","Value",-1671,27257
2013,"EI Payments less Receipts","Alberta","Total ($ M)","Value",1939,27257
2013,"Corporate Income Taxes","Alberta","Total ($ M)","Value",9066,27257
2013,"Personal Income Taxes","Alberta","Total ($ M)","Value",23629,27257
2013,"Other Factors","Alberta","Total ($ M)","Value",-8955,27257
2013,"Non-Defense Purchases","Alberta","Total ($ M)","Value",-2946,27257
2013,"OAS Benefits","Alberta","Total ($ M)","Value",-3277,27257
2013,"Equalization / Stabilization","Alberta","Total ($ M)","Value",0,27257
2013,"GST and Excise Taxes","Alberta","Total ($ M)","Value",7167,27257
2013,"Child Benefits","British Columbia","Total ($ M)","Value",-1542,4541
2013,"CPP Net Contributions","British Columbia","Total ($ M)","Value",1363,4541
2013,"Defense Purchases","British Columbia","Total ($ M)","Value",-1609,4541
2013,"EI Payments less Receipts","British Columbia","Total ($ M)","Value",1203,4541
2013,"Corporate Income Taxes","British Columbia","Total ($ M)","Value",4374,4541
2013,"Personal Income Taxes","British Columbia","Total ($ M)","Value",16437,4541
2013,"Other Factors","British Columbia","Total ($ M)","Value",-11950,4541
2013,"Non-Defense Purchases","British Columbia","Total ($ M)","Value",-4757,4541
2013,"OAS Benefits","British Columbia","Total ($ M)","Value",-5582,4541
2013,"Equalization / Stabilization","British Columbia","Total ($ M)","Value",0,4541
2013,"GST and Excise Taxes","British Columbia","Total ($ M)","Value",6604,4541
2013,"Child Benefits","Manitoba","Total ($ M)","Value",-635,-3631
2013,"CPP Net Contributions","Manitoba","Total ($ M)","Value",390,-3631
2013,"Defense Purchases","Manitoba","Total ($ M)","Value",-770,-3631
2013,"EI Payments less Receipts","Manitoba","Total ($ M)","Value",361,-3631
2013,"Corporate Income Taxes","Manitoba","Total ($ M)","Value",998,-3631
2013,"Personal Income Taxes","Manitoba","Total ($ M)","Value",3778,-3631
2013,"Other Factors","Manitoba","Total ($ M)","Value",-4372,-3631
2013,"Non-Defense Purchases","Manitoba","Total ($ M)","Value",-1843,-3631
2013,"OAS Benefits","Manitoba","Total ($ M)","Value",-1422,-3631
2013,"Equalization / Stabilization","Manitoba","Total ($ M)","Value",-1809,-3631
2013,"GST and Excise Taxes","Manitoba","Total ($ M)","Value",1693,-3631
2013,"Child Benefits","New Brunswick","Total ($ M)","Value",-284,-4387
2013,"CPP Net Contributions","New Brunswick","Total ($ M)","Value",50,-4387
2013,"Defense Purchases","New Brunswick","Total ($ M)","Value",-918,-4387
2013,"EI Payments less Receipts","New Brunswick","Total ($ M)","Value",-364,-4387
2013,"Corporate Income Taxes","New Brunswick","Total ($ M)","Value",392,-4387
2013,"Personal Income Taxes","New Brunswick","Total ($ M)","Value",2026,-4387
2013,"Other Factors","New Brunswick","Total ($ M)","Value",-2135,-4387
2013,"Non-Defense Purchases","New Brunswick","Total ($ M)","Value",-1447,-4387
2013,"OAS Benefits","New Brunswick","Total ($ M)","Value",-1122,-4387
2013,"Equalization / Stabilization","New Brunswick","Total ($ M)","Value",-1563,-4387
2013,"GST and Excise Taxes","New Brunswick","Total ($ M)","Value",978,-4387
2013,"Child Benefits","Newfoundland and Labrador","Total ($ M)","Value",-174,-1214
2013,"CPP Net Contributions","Newfoundland and Labrador","Total ($ M)","Value",5,-1214
2013,"Defense Purchases","Newfoundland and Labrador","Total ($ M)","Value",-180,-1214
2013,"EI Payments less Receipts","Newfoundland and Labrador","Total ($ M)","Value",-447,-1214
2013,"Corporate Income Taxes","Newfoundland and Labrador","Total ($ M)","Value",408,-1214
2013,"Personal Income Taxes","Newfoundland and Labrador","Total ($ M)","Value",1912,-1214
2013,"Other Factors","Newfoundland and Labrador","Total ($ M)","Value",-1805,-1214
2013,"Non-Defense Purchases","Newfoundland and Labrador","Total ($ M)","Value",-899,-1214
2013,"OAS Benefits","Newfoundland and Labrador","Total ($ M)","Value",-813,-1214
2013,"Equalization / Stabilization","Newfoundland and Labrador","Total ($ M)","Value",0,-1214
2013,"GST and Excise Taxes","Newfoundland and Labrador","Total ($ M)","Value",779,-1214
2013,"Child Benefits","Northwest Territories","Total ($ M)","Value",-17,-1000
2013,"CPP Net Contributions","Northwest Territories","Total ($ M)","Value",87,-1000
2013,"Defense Purchases","Northwest Territories","Total ($ M)","Value",-54,-1000
2013,"EI Payments less Receipts","Northwest Territories","Total ($ M)","Value",7,-1000
2013,"Corporate Income Taxes","Northwest Territories","Total ($ M)","Value",78,-1000
2013,"Personal Income Taxes","Northwest Territories","Total ($ M)","Value",227,-1000
2013,"Other Factors","Northwest Territories","Total ($ M)","Value",-1134,-1000
2013,"Non-Defense Purchases","Northwest Territories","Total ($ M)","Value",-260,-1000
2013,"OAS Benefits","Northwest Territories","Total ($ M)","Value",-19,-1000
2013,"Equalization / Stabilization","Northwest Territories","Total ($ M)","Value",0,-1000
2013,"GST and Excise Taxes","Northwest Territories","Total ($ M)","Value",85,-1000
2013,"Child Benefits","Nova Scotia","Total ($ M)","Value",-350,-6850
2013,"CPP Net Contributions","Nova Scotia","Total ($ M)","Value",-212,-6850
2013,"Defense Purchases","Nova Scotia","Total ($ M)","Value",-2449,-6850
2013,"EI Payments less Receipts","Nova Scotia","Total ($ M)","Value",-174,-6850
2013,"Corporate Income Taxes","Nova Scotia","Total ($ M)","Value",591,-6850
2013,"Personal Income Taxes","Nova Scotia","Total ($ M)","Value",2717,-6850
2013,"Other Factors","Nova Scotia","Total ($ M)","Value",-2858,-6850
2013,"Non-Defense Purchases","Nova Scotia","Total ($ M)","Value",-2300,-6850
2013,"OAS Benefits","Nova Scotia","Total ($ M)","Value",-1329,-6850
2013,"Equalization / Stabilization","Nova Scotia","Total ($ M)","Value",-1777,-6850
2013,"GST and Excise Taxes","Nova Scotia","Total ($ M)","Value",1291,-6850
2013,"Child Benefits","Nunavut","Total ($ M)","Value",-29,-1441
2013,"CPP Net Contributions","Nunavut","Total ($ M)","Value",33,-1441
2013,"Defense Purchases","Nunavut","Total ($ M)","Value",-9,-1441
2013,"EI Payments less Receipts","Nunavut","Total ($ M)","Value",10,-1441
2013,"Corporate Income Taxes","Nunavut","Total ($ M)","Value",28,-1441
2013,"Personal Income Taxes","Nunavut","Total ($ M)","Value",118,-1441
2013,"Other Factors","Nunavut","Total ($ M)","Value",-1468,-1441
2013,"Non-Defense Purchases","Nunavut","Total ($ M)","Value",-156,-1441
2013,"OAS Benefits","Nunavut","Total ($ M)","Value",-15,-1441
2013,"Equalization / Stabilization","Nunavut","Total ($ M)","Value",0,-1441
2013,"GST and Excise Taxes","Nunavut","Total ($ M)","Value",47,-1441
2013,"Child Benefits","Ontario","Total ($ M)","Value",-5084,5851
2013,"CPP Net Contributions","Ontario","Total ($ M)","Value",3315,5851
2013,"Defense Purchases","Ontario","Total ($ M)","Value",-8236,5851
2013,"EI Payments less Receipts","Ontario","Total ($ M)","Value",3516,5851
2013,"Corporate Income Taxes","Ontario","Total ($ M)","Value",13802,5851
2013,"Personal Income Taxes","Ontario","Total ($ M)","Value",51648,5851
2013,"Other Factors","Ontario","Total ($ M)","Value",-31260,5851
2013,"Non-Defense Purchases","Ontario","Total ($ M)","Value",-21699,5851
2013,"OAS Benefits","Ontario","Total ($ M)","Value",-15154,5851
2013,"Equalization / Stabilization","Ontario","Total ($ M)","Value",-3176,5851
2013,"GST and Excise Taxes","Ontario","Total ($ M)","Value",18179,5851
2013,"Child Benefits","Prince Edward Island","Total ($ M)","Value",-56,-1156
2013,"CPP Net Contributions","Prince Edward Island","Total ($ M)","Value",0,-1156
2013,"Defense Purchases","Prince Edward Island","Total ($ M)","Value",-54,-1156
2013,"EI Payments less Receipts","Prince Edward Island","Total ($ M)","Value",-114,-1156
2013,"Corporate Income Taxes","Prince Edward Island","Total ($ M)","Value",74,-1156
2013,"Personal Income Taxes","Prince Edward Island","Total ($ M)","Value",364,-1156
2013,"Other Factors","Prince Edward Island","Total ($ M)","Value",-563,-1156
2013,"Non-Defense Purchases","Prince Edward Island","Total ($ M)","Value",-454,-1156
2013,"OAS Benefits","Prince Edward Island","Total ($ M)","Value",-200,-1156
2013,"Equalization / Stabilization","Prince Edward Island","Total ($ M)","Value",-337,-1156
2013,"GST and Excise Taxes","Prince Edward Island","Total ($ M)","Value",184,-1156
2013,"Child Benefits","Quebec","Total ($ M)","Value",-2956,-14791
2013,"CPP Net Contributions","Quebec","Total ($ M)","Value",-48,-14791
2013,"Defense Purchases","Quebec","Total ($ M)","Value",-2588,-14791
2013,"EI Payments less Receipts","Quebec","Total ($ M)","Value",689,-14791
2013,"Corporate Income Taxes","Quebec","Total ($ M)","Value",6708,-14791
2013,"Personal Income Taxes","Quebec","Total ($ M)","Value",20545,-14791
2013,"Other Factors","Quebec","Total ($ M)","Value",-17448,-14791
2013,"Non-Defense Purchases","Quebec","Total ($ M)","Value",-10456,-14791
2013,"OAS Benefits","Quebec","Total ($ M)","Value",-11224,-14791
2013,"Equalization / Stabilization","Quebec","Total ($ M)","Value",-7771,-14791
2013,"GST and Excise Taxes","Quebec","Total ($ M)","Value",9758,-14791
2013,"Child Benefits","Saskatchewan","Total ($ M)","Value",-507,1156
2013,"CPP Net Contributions","Saskatchewan","Total ($ M)","Value",376,1156
2013,"Defense Purchases","Saskatchewan","Total ($ M)","Value",-243,1156
2013,"EI Payments less Receipts","Saskatchewan","Total ($ M)","Value",381,1156
2013,"Corporate Income Taxes","Saskatchewan","Total ($ M)","Value",1611,1156
2013,"Personal Income Taxes","Saskatchewan","Total ($ M)","Value",4177,1156
2013,"Other Factors","Saskatchewan","Total ($ M)","Value",-3865,1156
2013,"Non-Defense Purchases","Saskatchewan","Total ($ M)","Value",-1248,1156
2013,"OAS Benefits","Saskatchewan","Total ($ M)","Value",-1242,1156
2013,"Equalization / Stabilization","Saskatchewan","Total ($ M)","Value",0,1156
2013,"GST and Excise Taxes","Saskatchewan","Total ($ M)","Value",1716,1156
2013,"Child Benefits","Yukon","Total ($ M)","Value",-13,-1000
2013,"CPP Net Contributions","Yukon","Total ($ M)","Value",56,-1000
2013,"Defense Purchases","Yukon","Total ($ M)","Value",-3,-1000
2013,"EI Payments less Receipts","Yukon","Total ($ M)","Value",2,-1000
2013,"Corporate Income Taxes","Yukon","Total ($ M)","Value",18,-1000
2013,"Personal Income Taxes","Yukon","Total ($ M)","Value",148,-1000
2013,"Other Factors","Yukon","Total ($ M)","Value",-1111,-1000
2013,"Non-Defense Purchases","Yukon","Total ($ M)","Value",-133,-1000
2013,"OAS Benefits","Yukon","Total ($ M)","Value",-26,-1000
2013,"Equalization / Stabilization","Yukon","Total ($ M)","Value",0,-1000
2013,"GST and Excise Taxes","Yukon","Total ($ M)","Value",62,-1000
2014,"Child Benefits","Alberta","Total ($ M)","Value",-1435,30985
2014,"CPP Net Contributions","Alberta","Total ($ M)","Value",3929,30985
2014,"Defense Purchases","Alberta","Total ($ M)","Value",-1684,30985
2014,"EI Payments less Receipts","Alberta","Total ($ M)","Value",1978,30985
2014,"Corporate Income Taxes","Alberta","Total ($ M)","Value",10041,30985
2014,"Personal Income Taxes","Alberta","Total ($ M)","Value",25737,30985
2014,"Other Factors","Alberta","Total ($ M)","Value",-8807,30985
2014,"Non-Defense Purchases","Alberta","Total ($ M)","Value",-2957,30985
2014,"OAS Benefits","Alberta","Total ($ M)","Value",-3434,30985
2014,"Equalization / Stabilization","Alberta","Total ($ M)","Value",0,30985
2014,"GST and Excise Taxes","Alberta","Total ($ M)","Value",7617,30985
2014,"Child Benefits","British Columbia","Total ($ M)","Value",-1521,6263
2014,"CPP Net Contributions","British Columbia","Total ($ M)","Value",1526,6263
2014,"Defense Purchases","British Columbia","Total ($ M)","Value",-1622,6263
2014,"EI Payments less Receipts","British Columbia","Total ($ M)","Value",1200,6263
2014,"Corporate Income Taxes","British Columbia","Total ($ M)","Value",4897,6263
2014,"Personal Income Taxes","British Columbia","Total ($ M)","Value",17186,6263
2014,"Other Factors","British Columbia","Total ($ M)","Value",-11769,6263
2014,"Non-Defense Purchases","British Columbia","Total ($ M)","Value",-4708,6263
2014,"OAS Benefits","British Columbia","Total ($ M)","Value",-5894,6263
2014,"Equalization / Stabilization","British Columbia","Total ($ M)","Value",0,6263
2014,"GST and Excise Taxes","British Columbia","Total ($ M)","Value",6968,6263
2014,"Child Benefits","Manitoba","Total ($ M)","Value",-637,-3211
2014,"CPP Net Contributions","Manitoba","Total ($ M)","Value",443,-3211
2014,"Defense Purchases","Manitoba","Total ($ M)","Value",-764,-3211
2014,"EI Payments less Receipts","Manitoba","Total ($ M)","Value",359,-3211
2014,"Corporate Income Taxes","Manitoba","Total ($ M)","Value",1090,-3211
2014,"Personal Income Taxes","Manitoba","Total ($ M)","Value",3950,-3211
2014,"Other Factors","Manitoba","Total ($ M)","Value",-4387,-3211
2014,"Non-Defense Purchases","Manitoba","Total ($ M)","Value",-1799,-3211
2014,"OAS Benefits","Manitoba","Total ($ M)","Value",-1470,-3211
2014,"Equalization / Stabilization","Manitoba","Total ($ M)","Value",-1766,-3211
2014,"GST and Excise Taxes","Manitoba","Total ($ M)","Value",1770,-3211
2014,"Child Benefits","New Brunswick","Total ($ M)","Value",-282,-4273
2014,"CPP Net Contributions","New Brunswick","Total ($ M)","Value",73,-4273
2014,"Defense Purchases","New Brunswick","Total ($ M)","Value",-901,-4273
2014,"EI Payments less Receipts","New Brunswick","Total ($ M)","Value",-349,-4273
2014,"Corporate Income Taxes","New Brunswick","Total ($ M)","Value",404,-4273
2014,"Personal Income Taxes","New Brunswick","Total ($ M)","Value",2108,-4273
2014,"Other Factors","New Brunswick","Total ($ M)","Value",-2053,-4273
2014,"Non-Defense Purchases","New Brunswick","Total ($ M)","Value",-1484,-4273
2014,"OAS Benefits","New Brunswick","Total ($ M)","Value",-1177,-4273
2014,"Equalization / Stabilization","New Brunswick","Total ($ M)","Value",-1641,-4273
2014,"GST and Excise Taxes","New Brunswick","Total ($ M)","Value",1029,-4273
2014,"Child Benefits","Newfoundland and Labrador","Total ($ M)","Value",-170,-1070
2014,"CPP Net Contributions","Newfoundland and Labrador","Total ($ M)","Value",14,-1070
2014,"Defense Purchases","Newfoundland and Labrador","Total ($ M)","Value",-187,-1070
2014,"EI Payments less Receipts","Newfoundland and Labrador","Total ($ M)","Value",-452,-1070
2014,"Corporate Income Taxes","Newfoundland and Labrador","Total ($ M)","Value",397,-1070
2014,"Personal Income Taxes","Newfoundland and Labrador","Total ($ M)","Value",2045,-1070
2014,"Other Factors","Newfoundland and Labrador","Total ($ M)","Value",-1796,-1070
2014,"Non-Defense Purchases","Newfoundland and Labrador","Total ($ M)","Value",-881,-1070
2014,"OAS Benefits","Newfoundland and Labrador","Total ($ M)","Value",-851,-1070
2014,"Equalization / Stabilization","Newfoundland and Labrador","Total ($ M)","Value",0,-1070
2014,"GST and Excise Taxes","Newfoundland and Labrador","Total ($ M)","Value",811,-1070
2014,"Child Benefits","Northwest Territories","Total ($ M)","Value",-17,-1214
2014,"CPP Net Contributions","Northwest Territories","Total ($ M)","Value",90,-1214
2014,"Defense Purchases","Northwest Territories","Total ($ M)","Value",-54,-1214
2014,"EI Payments less Receipts","Northwest Territories","Total ($ M)","Value",10,-1214
2014,"Corporate Income Taxes","Northwest Territories","Total ($ M)","Value",68,-1214
2014,"Personal Income Taxes","Northwest Territories","Total ($ M)","Value",235,-1214
2014,"Other Factors","Northwest Territories","Total ($ M)","Value",-1373,-1214
2014,"Non-Defense Purchases","Northwest Territories","Total ($ M)","Value",-241,-1214
2014,"OAS Benefits","Northwest Territories","Total ($ M)","Value",-25,-1214
2014,"Equalization / Stabilization","Northwest Territories","Total ($ M)","Value",0,-1214
2014,"GST and Excise Taxes","Northwest Territories","Total ($ M)","Value",93,-1214
2014,"Child Benefits","Nova Scotia","Total ($ M)","Value",-347,-6514
2014,"CPP Net Contributions","Nova Scotia","Total ($ M)","Value",-183,-6514
2014,"Defense Purchases","Nova Scotia","Total ($ M)","Value",-2446,-6514
2014,"EI Payments less Receipts","Nova Scotia","Total ($ M)","Value",-163,-6514
2014,"Corporate Income Taxes","Nova Scotia","Total ($ M)","Value",607,-6514
2014,"Personal Income Taxes","Nova Scotia","Total ($ M)","Value",2847,-6514
2014,"Other Factors","Nova Scotia","Total ($ M)","Value",-2648,-6514
2014,"Non-Defense Purchases","Nova Scotia","Total ($ M)","Value",-2299,-6514
2014,"OAS Benefits","Nova Scotia","Total ($ M)","Value",-1391,-6514
2014,"Equalization / Stabilization","Nova Scotia","Total ($ M)","Value",-1816,-6514
2014,"GST and Excise Taxes","Nova Scotia","Total ($ M)","Value",1325,-6514
2014,"Child Benefits","Nunavut","Total ($ M)","Value",-30,-1433
2014,"CPP Net Contributions","Nunavut","Total ($ M)","Value",37,-1433
2014,"Defense Purchases","Nunavut","Total ($ M)","Value",-9,-1433
2014,"EI Payments less Receipts","Nunavut","Total ($ M)","Value",11,-1433
2014,"Corporate Income Taxes","Nunavut","Total ($ M)","Value",23,-1433
2014,"Personal Income Taxes","Nunavut","Total ($ M)","Value",124,-1433
2014,"Other Factors","Nunavut","Total ($ M)","Value",-1476,-1433
2014,"Non-Defense Purchases","Nunavut","Total ($ M)","Value",-158,-1433
2014,"OAS Benefits","Nunavut","Total ($ M)","Value",-9,-1433
2014,"Equalization / Stabilization","Nunavut","Total ($ M)","Value",0,-1433
2014,"GST and Excise Taxes","Nunavut","Total ($ M)","Value",54,-1433
2014,"Child Benefits","Ontario","Total ($ M)","Value",-5090,12575
2014,"CPP Net Contributions","Ontario","Total ($ M)","Value",3694,12575
2014,"Defense Purchases","Ontario","Total ($ M)","Value",-8253,12575
2014,"EI Payments less Receipts","Ontario","Total ($ M)","Value",3623,12575
2014,"Corporate Income Taxes","Ontario","Total ($ M)","Value",15302,12575
2014,"Personal Income Taxes","Ontario","Total ($ M)","Value",54055,12575
2014,"Other Factors","Ontario","Total ($ M)","Value",-30855,12575
2014,"Non-Defense Purchases","Ontario","Total ($ M)","Value",-21032,12575
2014,"OAS Benefits","Ontario","Total ($ M)","Value",-15866,12575
2014,"Equalization / Stabilization","Ontario","Total ($ M)","Value",-2305,12575
2014,"GST and Excise Taxes","Ontario","Total ($ M)","Value",19302,12575
2014,"Child Benefits","Prince Edward Island","Total ($ M)","Value",-55,-1077
2014,"CPP Net Contributions","Prince Edward Island","Total ($ M)","Value",4,-1077
2014,"Defense Purchases","Prince Edward Island","Total ($ M)","Value",-55,-1077
2014,"EI Payments less Receipts","Prince Edward Island","Total ($ M)","Value",-107,-1077
2014,"Corporate Income Taxes","Prince Edward Island","Total ($ M)","Value",68,-1077
2014,"Personal Income Taxes","Prince Edward Island","Total ($ M)","Value",379,-1077
2014,"Other Factors","Prince Edward Island","Total ($ M)","Value",-494,-1077
2014,"Non-Defense Purchases","Prince Edward Island","Total ($ M)","Value",-444,-1077
2014,"OAS Benefits","Prince Edward Island","Total ($ M)","Value",-211,-1077
2014,"Equalization / Stabilization","Prince Edward Island","Total ($ M)","Value",-355,-1077
2014,"GST and Excise Taxes","Prince Edward Island","Total ($ M)","Value",193,-1077
2014,"Child Benefits","Quebec","Total ($ M)","Value",-2953,-14955
2014,"CPP Net Contributions","Quebec","Total ($ M)","Value",-44,-14955
2014,"Defense Purchases","Quebec","Total ($ M)","Value",-2638,-14955
2014,"EI Payments less Receipts","Quebec","Total ($ M)","Value",674,-14955
2014,"Corporate Income Taxes","Quebec","Total ($ M)","Value",6946,-14955
2014,"Personal Income Taxes","Quebec","Total ($ M)","Value",21389,-14955
2014,"Other Factors","Quebec","Total ($ M)","Value",-17138,-14955
2014,"Non-Defense Purchases","Quebec","Total ($ M)","Value",-10537,-14955
2014,"OAS Benefits","Quebec","Total ($ M)","Value",-11766,-14955
2014,"Equalization / Stabilization","Quebec","Total ($ M)","Value",-8994,-14955
2014,"GST and Excise Taxes","Quebec","Total ($ M)","Value",10106,-14955
2014,"Child Benefits","Saskatchewan","Total ($ M)","Value",-508,1695
2014,"CPP Net Contributions","Saskatchewan","Total ($ M)","Value",425,1695
2014,"Defense Purchases","Saskatchewan","Total ($ M)","Value",-237,1695
2014,"EI Payments less Receipts","Saskatchewan","Total ($ M)","Value",373,1695
2014,"Corporate Income Taxes","Saskatchewan","Total ($ M)","Value",1844,1695
2014,"Personal Income Taxes","Saskatchewan","Total ($ M)","Value",4426,1695
2014,"Other Factors","Saskatchewan","Total ($ M)","Value",-3895,1695
2014,"Non-Defense Purchases","Saskatchewan","Total ($ M)","Value",-1270,1695
2014,"OAS Benefits","Saskatchewan","Total ($ M)","Value",-1269,1695
2014,"Equalization / Stabilization","Saskatchewan","Total ($ M)","Value",0,1695
2014,"GST and Excise Taxes","Saskatchewan","Total ($ M)","Value",1806,1695
2014,"Child Benefits","Yukon","Total ($ M)","Value",-13,-989
2014,"CPP Net Contributions","Yukon","Total ($ M)","Value",58,-989
2014,"Defense Purchases","Yukon","Total ($ M)","Value",-3,-989
2014,"EI Payments less Receipts","Yukon","Total ($ M)","Value",5,-989
2014,"Corporate Income Taxes","Yukon","Total ($ M)","Value",21,-989
2014,"Personal Income Taxes","Yukon","Total ($ M)","Value",149,-989
2014,"Other Factors","Yukon","Total ($ M)","Value",-1111,-989
2014,"Non-Defense Purchases","Yukon","Total ($ M)","Value",-132,-989
2014,"OAS Benefits","Yukon","Total ($ M)","Value",-26,-989
2014,"Equalization / Stabilization","Yukon","Total ($ M)","Value",0,-989
2014,"GST and Excise Taxes","Yukon","Total ($ M)","Value",63,-989
2015,"Child Benefits","Alberta","Total ($ M)","Value",-2106,29069
2015,"CPP Net Contributions","Alberta","Total ($ M)","Value",4313,29069
2015,"Defense Purchases","Alberta","Total ($ M)","Value",-1678,29069
2015,"EI Payments less Receipts","Alberta","Total ($ M)","Value",1321,29069
2015,"Corporate Income Taxes","Alberta","Total ($ M)","Value",8697,29069
2015,"Personal Income Taxes","Alberta","Total ($ M)","Value",26992,29069
2015,"Other Factors","Alberta","Total ($ M)","Value",-9634,29069
2015,"Non-Defense Purchases","Alberta","Total ($ M)","Value",-2926,29069
2015,"OAS Benefits","Alberta","Total ($ M)","Value",-3621,29069
2015,"Equalization / Stabilization","Alberta","Total ($ M)","Value",0,29069
2015,"GST and Excise Taxes","Alberta","Total ($ M)","Value",7711,29069
2015,"Child Benefits","British Columbia","Total ($ M)","Value",-2075,7851
2015,"CPP Net Contributions","British Columbia","Total ($ M)","Value",1751,7851
2015,"Defense Purchases","British Columbia","Total ($ M)","Value",-1679,7851
2015,"EI Payments less Receipts","British Columbia","Total ($ M)","Value",1232,7851
2015,"Corporate Income Taxes","British Columbia","Total ($ M)","Value",5120,7851
2015,"Personal Income Taxes","British Columbia","Total ($ M)","Value",18656,7851
2015,"Other Factors","British Columbia","Total ($ M)","Value",-11925,7851
2015,"Non-Defense Purchases","British Columbia","Total ($ M)","Value",-4572,7851
2015,"OAS Benefits","British Columbia","Total ($ M)","Value",-6168,7851
